metric,value
coverage,0.3225806451612903
precision,0.3448275862068966
recall,0.3225806451612903
errors,{"hallucinations": 0, "plausible_out_of_ontology": 57, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,43
structural.hierarchy_coverage,0.5517241379310345
extraction_only.coverage,0.26881720430107525
extraction_only.precision,0.32894736842105265
extraction_only.recall,0.26881720430107525
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,5
extraction_only.structural.hierarchy_coverage,0.10526315789473684
extraction_only.relations.n_generated,65
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4
extraction_only.relations.recall,0.2778
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3225806451612903
clinical_only.precision,0.3448275862068966
clinical_only.recall,0.3225806451612903
relations.n_generated,79
relations.n_gold,18
relations.precision,0.3291
relations.recall,0.2778
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,43
hierarchy.n_gold,76
hierarchy.precision,0.093
hierarchy.recall,0.0526
hierarchy.matched,4
by_stratum.core.n_generated,73
by_stratum.core.precision,0.3424657534246575
by_stratum.core.recall,0.26881720430107525
by_stratum.core.coverage,0.26881720430107525
by_stage.extraction.n_classes,76
by_stage.extraction.n_relations,65
by_stage.extraction.n_hierarchy,5
by_stage.extraction.coverage,0.2688
by_stage.extraction.precision,0.3289
by_stage.extraction.recall,0.2688
by_stage.extraction.relation_recall,0.2778
by_stage.extraction.relation_precision,0.4
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,94
by_stage.after_text_grounded.n_relations,77
by_stage.after_text_grounded.n_hierarchy,61
by_stage.after_text_grounded.coverage,0.3226
by_stage.after_text_grounded.precision,0.3191
by_stage.after_text_grounded.recall,0.3226
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.3766
by_stage.after_text_grounded.hierarchy_recall,0.0658
by_stage.after_text_grounded.hierarchy_precision,0.082
by_stage.after_cleanup.n_classes,87
by_stage.after_cleanup.n_relations,66
by_stage.after_cleanup.n_hierarchy,43
by_stage.after_cleanup.coverage,0.3226
by_stage.after_cleanup.precision,0.3448
by_stage.after_cleanup.recall,0.3226
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.3788
by_stage.after_cleanup.hierarchy_recall,0.0526
by_stage.after_cleanup.hierarchy_precision,0.093
by_stage.after_orphan_rescue.n_classes,87
by_stage.after_orphan_rescue.n_relations,79
by_stage.after_orphan_rescue.n_hierarchy,43
by_stage.after_orphan_rescue.coverage,0.3226
by_stage.after_orphan_rescue.precision,0.3448
by_stage.after_orphan_rescue.recall,0.3226
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.3291
by_stage.after_orphan_rescue.hierarchy_recall,0.0526
by_stage.after_orphan_rescue.hierarchy_precision,0.093
by_stage.after_llm_refinement.n_classes,87
by_stage.after_llm_refinement.n_relations,79
by_stage.after_llm_refinement.n_hierarchy,43
by_stage.after_llm_refinement.coverage,0.3226
by_stage.after_llm_refinement.precision,0.3448
by_stage.after_llm_refinement.recall,0.3226
by_stage.after_llm_refinement.relation_recall,0.2778
by_stage.after_llm_refinement.relation_precision,0.3291
by_stage.after_llm_refinement.hierarchy_recall,0.0526
by_stage.after_llm_refinement.hierarchy_precision,0.093
