metric,value
coverage,0.3118279569892473
precision,0.4142857142857143
recall,0.3118279569892473
errors,{"hallucinations": 0, "plausible_out_of_ontology": 41, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,18
structural.hierarchy_coverage,0.32857142857142857
extraction_only.coverage,0.3010752688172043
extraction_only.precision,0.35443037974683544
extraction_only.recall,0.3010752688172043
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.06329113924050633
extraction_only.relations.n_generated,78
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3846
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3118279569892473
clinical_only.precision,0.4142857142857143
clinical_only.recall,0.3118279569892473
relations.n_generated,72
relations.n_gold,18
relations.precision,0.4028
relations.recall,0.4444
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,18
hierarchy.n_gold,76
hierarchy.precision,0.3333
hierarchy.recall,0.0789
hierarchy.matched,6
by_stratum.core.n_generated,67
by_stratum.core.precision,0.417910447761194
by_stratum.core.recall,0.3010752688172043
by_stratum.core.coverage,0.3010752688172043
by_stage.extraction.n_classes,79
by_stage.extraction.n_relations,78
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.3011
by_stage.extraction.precision,0.3544
by_stage.extraction.recall,0.3011
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.3846
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,81
by_stage.after_text_grounded.n_relations,90
by_stage.after_text_grounded.n_hierarchy,27
by_stage.after_text_grounded.coverage,0.3118
by_stage.after_text_grounded.precision,0.358
by_stage.after_text_grounded.recall,0.3118
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.3889
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.2963
by_stage.after_cleanup.n_classes,69
by_stage.after_cleanup.n_relations,63
by_stage.after_cleanup.n_hierarchy,18
by_stage.after_cleanup.coverage,0.3118
by_stage.after_cleanup.precision,0.4203
by_stage.after_cleanup.recall,0.3118
by_stage.after_cleanup.relation_recall,0.4444
by_stage.after_cleanup.relation_precision,0.4127
by_stage.after_cleanup.hierarchy_recall,0.0789
by_stage.after_cleanup.hierarchy_precision,0.3333
by_stage.after_orphan_rescue.n_classes,70
by_stage.after_orphan_rescue.n_relations,72
by_stage.after_orphan_rescue.n_hierarchy,18
by_stage.after_orphan_rescue.coverage,0.3118
by_stage.after_orphan_rescue.precision,0.4143
by_stage.after_orphan_rescue.recall,0.3118
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.4028
by_stage.after_orphan_rescue.hierarchy_recall,0.0789
by_stage.after_orphan_rescue.hierarchy_precision,0.3333
by_stage.after_llm_refinement.n_classes,70
by_stage.after_llm_refinement.n_relations,72
by_stage.after_llm_refinement.n_hierarchy,18
by_stage.after_llm_refinement.coverage,0.3118
by_stage.after_llm_refinement.precision,0.4143
by_stage.after_llm_refinement.recall,0.3118
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.4028
by_stage.after_llm_refinement.hierarchy_recall,0.0789
by_stage.after_llm_refinement.hierarchy_precision,0.3333
