metric,value
coverage,0.3548387096774194
precision,0.4230769230769231
recall,0.3548387096774194
errors,{"hallucinations": 0, "plausible_out_of_ontology": 45, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,19
structural.hierarchy_coverage,0.2692307692307692
extraction_only.coverage,0.3333333333333333
extraction_only.precision,0.3780487804878049
extraction_only.recall,0.3333333333333333
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.08536585365853659
extraction_only.relations.n_generated,75
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3867
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,True
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3548387096774194
clinical_only.precision,0.4230769230769231
clinical_only.recall,0.3548387096774194
relations.n_generated,61
relations.n_gold,18
relations.precision,0.3934
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,19
hierarchy.n_gold,76
hierarchy.precision,0.2632
hierarchy.recall,0.0658
hierarchy.matched,5
by_stratum.core.n_generated,72
by_stratum.core.precision,0.4027777777777778
by_stratum.core.recall,0.3118279569892473
by_stratum.core.coverage,0.3118279569892473
by_stage.extraction.n_classes,82
by_stage.extraction.n_relations,75
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.3333
by_stage.extraction.precision,0.378
by_stage.extraction.recall,0.3333
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3867
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,91
by_stage.after_text_grounded.n_relations,85
by_stage.after_text_grounded.n_hierarchy,37
by_stage.after_text_grounded.coverage,0.3763
by_stage.after_text_grounded.precision,0.3846
by_stage.after_text_grounded.recall,0.3763
by_stage.after_text_grounded.relation_recall,0.4444
by_stage.after_text_grounded.relation_precision,0.4
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.2162
by_stage.after_cleanup.n_classes,78
by_stage.after_cleanup.n_relations,51
by_stage.after_cleanup.n_hierarchy,19
by_stage.after_cleanup.coverage,0.3548
by_stage.after_cleanup.precision,0.4231
by_stage.after_cleanup.recall,0.3548
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.4118
by_stage.after_cleanup.hierarchy_recall,0.0658
by_stage.after_cleanup.hierarchy_precision,0.2632
by_stage.after_orphan_rescue.n_classes,79
by_stage.after_orphan_rescue.n_relations,62
by_stage.after_orphan_rescue.n_hierarchy,19
by_stage.after_orphan_rescue.coverage,0.3548
by_stage.after_orphan_rescue.precision,0.4177
by_stage.after_orphan_rescue.recall,0.3548
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.3871
by_stage.after_orphan_rescue.hierarchy_recall,0.0658
by_stage.after_orphan_rescue.hierarchy_precision,0.2632
by_stage.after_llm_refinement.n_classes,78
by_stage.after_llm_refinement.n_relations,61
by_stage.after_llm_refinement.n_hierarchy,19
by_stage.after_llm_refinement.coverage,0.3548
by_stage.after_llm_refinement.precision,0.4231
by_stage.after_llm_refinement.recall,0.3548
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.3934
by_stage.after_llm_refinement.hierarchy_recall,0.0658
by_stage.after_llm_refinement.hierarchy_precision,0.2632
